Rank,City,State,Population,Date of census
1 ,Berlin ,Germany ,"3,664,088" ,31 December 2020
2 ,Madrid ,Spain ,3305408 ,1 January 2021
3 ,Rome ,Italy ,2770226 ,1 January 2021
4 ,Bucharest ,Romania ,2161347 ,1 July 2021
5 ,Paris ,France ,2139907 ,1 January 2022
6 ,Vienna ,Austria ,1951354 ,1 April 2022
7 ,Hamburg ,Germany ,1852478 ,31 December 2020
8 ,Warsaw ,Poland ,1792718 ,30 June 2021
9 ,Budapest ,Hungary ,1723836 ,1 January 2021
10 ,Barcelona ,Spain ,1636732 ,1 January 2021
11 ,Munich ,Germany ,1488202 ,31 December 2020
12 ,Milan ,Italy ,1374582 ,1 January 2021
13 ,Sofia ,Bulgaria ,1308412 ,31 December 2020
14 ,Prague ,Czech Republic ,1275406 ,1 January 2022
15 ,Cologne ,Germany ,1083498 ,31 December 2020
16 ,Stockholm ,Sweden ,978770 ,31 December 2021
17 ,Naples ,Italy ,922094 ,1 January 2021
18 ,Amsterdam ,Netherlands ,905234 ,31 January 2022
19 ,Marseille ,France ,870731 ,1 January 2019
20 ,Turin ,Italy ,858205 ,1 January 2021
21 ,Valencia ,Spain ,789744 ,1 January 2021
22 ,Kraków ,Poland ,780796 ,30 June 2021
23 ,Zagreb ,Croatia ,769944 ,31 August 2021
24 ,Frankfurt am Main ,Germany ,764104 ,31 December 2020
25 ,Seville ,Spain ,684234 ,1 January 2021
26 ,Zaragoza ,Spain ,675301 ,1 January 2021
27 ,Łódź ,Poland ,667923 ,30 June 2021
28 ,Athens ,Greece ,664046 ,30 June 2011
29 ,Helsinki ,Finland ,658864 ,31 December 2021
30 ,Rotterdam ,Netherlands ,655418 ,31 December 2021
31 ,Wrocław ,Poland ,641201 ,30 June 2021
32 ,Copenhagen ,Denmark ,638117 ,1 January 2021
33 ,Palermo ,Italy ,637885 ,1 January 2021
34 ,Stuttgart ,Germany ,630305 ,31 December 2020
35 ,Düsseldorf ,Germany ,620523 ,31 December 2020
36 ,Riga ,Latvia ,614618 ,1 January 2021
37 ,Leipzig ,Germany ,597493 ,31 December 2020
38 ,Dortmund ,Germany ,587696 ,31 December 2020
39 ,Gothenburg ,Sweden ,587549 ,31 December 2021
40 ,Essen ,Germany ,582415 ,31 December 2020
41 ,Málaga ,Spain ,577405 ,1 January 2021
42 ,Bremen ,Germany ,566573 ,31 December 2020
43 ,Genoa ,Italy ,566410 ,1 January 2021
44 ,Vilnius ,Lithuania ,560120 ,1 January 2022
45 ,Dresden ,Germany ,556227 ,31 December 2020
46 ,Dublin ,Ireland ,554554 ,24 April 2016
47 ,The Hague ,Netherlands ,553277 ,31 December 2021
48 ,Hanover ,Germany ,534049 ,31 December 2020
49 ,Poznań ,Poland ,530464 ,30 June 2021
50 ,Antwerp ,Belgium ,528903 ,1 January 2022
