,Fe,Co,Ni,Cu,Ru,Rh,Pd,Ag,Ir,Pt,Au
Fe,-0.92,0.05,-0.2,-0.13,-0.29,-0.54,-1.24,-0.83,-0.36,-1.09,-1.42
Co,0.01,-1.17,-0.28,-0.16,-0.24,-0.58,-1.37,-0.91,-0.36,-1.19,-1.56
Ni,0.09,0.19,-1.29,0.19,-0.14,-0.31,-0.97,-0.53,-0.14,-0.8,-1.13
Cu,0.56,0.6,0.27,-2.67,0.58,0.32,-0.64,-0.7,0.58,-0.33,-1.09
Ru,0.21,0.26,0.01,0.12,-1.41,-0.17,-0.82,-0.27,0.02,-0.62,-0.84
Rh,0.24,0.34,0.16,0.44,0.04,-1.73,-0.54,0.07,0.17,-0.35,-0.49
Pd,0.37,0.54,0.5,0.94,0.24,0.36,-1.83,0.59,0.53,0.19,0.17
Ag,0.72,0.84,0.67,0.47,0.84,0.86,0.14,-4.3,1.14,0.5,-0.15
Ir,0.21,0.27,0.05,0.21,0.09,-0.15,-0.73,-0.13,-2.11,-0.56,-0.74
Pt,0.33,0.48,0.4,0.72,0.14,0.23,-0.17,0.44,0.38,-2.25,-0.05
Au,0.63,0.77,0.63,0.55,0.7,0.75,0.17,0.21,0.98,0.46,-3.56
