,name,group,bulk wigner-seitz radius,atomic number,atomic mass,period,electronegativity,Iionization energy(eV),H_fus,density
Fe,Iron,8,2.66,26,55.845,4,1.83,7.9024,247.3,7.87
Co,Cobalt,9,2.62,27,58.9332,4,1.88,7.881,272.5,8.86
Ni,Nickel,10,2.6,28,58.6934,4,1.91,7.6398,290.3,8.9
Cu,Copper,11,2.67,29,63.546,4,1.9,7.7264,203.5,8.96
Ru,Ruthenium,8,2.79,44,101.07,5,2.2,7.3605,381.8,12.1
Rh,Rhodium,9,2.81,45,102.9055,5,2.28,7.4589,258.4,12.4
Pd,Palladium,10,2.87,46,106.42,5,2.2,8.3369,157.3,12
Ag,Silver,11,3.01,47,107.8682,5,1.93,7.5762,104.6,10.5
Ir,Iridium,9,2.84,77,192.217,6,2.2,8.967,213.9,22.5
Pt,Platinum,10,2.9,78,195.078,6,2.2,8.9588,113.6,21.5
Au,Gold,11,3,79,196.96655,6,2.4,9.2255,64.6,19.3
