Compound,log(Kow),EHOMO,Q-,ELUMO,Q+,Class
methanol,-0.77,-11.135,-0.5353,3.7775,0.3182,1
ethanol,-0.31,-11.05,-0.536,3.6513,0.3107,1
1-propanol,0.25,-10.94,-0.5317,3.6324,0.3122,1
2-propanol,0.05,-10.895,-0.5469,3.4925,0.3166,1
1-butanol,0.88,-10.94,-0.5422,3.5041,0.3141,1
2-butanol,0.61,-10.952,-0.5456,3.5536,0.3093,1
isobutanol,0.76,-10.858,-0.5476,3.5052,0.3149,1
tert-butyl alcohol,0.35,-10.991,-0.5517,3.4384,0.3144,1
1-pentanol,1.35,-10.94,-0.5422,3.5041,0.3141,1
3-pentanol,1.21,-10.805,-0.5394,3.4884,0.3197,1
1-hexanol,2.03,-10.93,-0.5506,3.4642,0.3129,1
1-heptanol,2.72,-10.924,-0.5517,3.43,0.3134,1
1-octanol,3,-10.917,-0.5526,3.4174,0.3165,1
1-nonanol,4.26,-10.912,-0.5539,3.4031,0.314,1
1-decanol,4.57,-10.907,-0.5539,3.3928,0.3156,1
1-undecanol,4.53,-10.903,-0.5524,3.3851,0.3151,1
1-dodecanol,5.13,-10.9,-0.5506,3.3793,0.3145,1
"1,2-ethanediol",-1.36,-10.946,-0.5293,3.2671,0.3173,1
"1,3-propenediol",-1.04,-9.493,-0.5567,1.0283,0.3342,1
"2-methyl-2,4-pentanediol",-0.68,-10.677,-0.5777,3.136,0.3386,1
3-furanmethanol,0.3,-9.176,-0.5465,0.7497,0.3312,1
cyclohexanol,1.23,-10.304,-0.4832,0.9217,0.0839,1
"2,2,2-trichloroethanol",1.42,-11.578,-0.5113,-0.4003,0.3378,1
butyldigol,0.56,-10.523,-0.5258,2.4765,0.3309,1
diethyleneglycol,-1.3,-10.982,-0.5148,2.4265,0.3221,1
triethyleneglycol,-1.24,-10.281,-0.546,2.3815,0.3629,1
2-methoxyethanol,-0.77,-10.807,-0.5114,2.8028,0.3202,1
2-ethoxyethanol,-0.1,-10.687,-0.515,2.6958,0.3201,1
2-isopropoxyethanol,0.05,-10.67,-0.5233,2.6498,0.3242,1
2-butoxyethanol,0.83,-10.65,-0.5209,2.6755,0.3233,1
2-(2-ethoxyethoxy)ethanol,-0.54,-10.584,-0.5514,2.36,0.3123,1
2-phenoxyethanol*,1.16,-8.973,-0.5669,0.5669,0.3339,1
acetone,-0.24,-10.668,-0.47,0.8443,0.0897,1
2-propanone,-0.24,-10.646,-0.4779,0.8489,0.1238,1
